City;Inf_Clothing;Inf_Footwear;Inf_Eduaction_Services;Inf_Basic_Education;Inf_Middle_Education;Inf_Higher_Education;Inf_Household;Inf_Furnitures_Equipment;Inf_Household_Textiles;Inf_Household_Tools;Inf_Tableware;Inf_Housing_Equipment;Inf_Household_Services;Inf_Health;Inf_Health_Medicines_Products;Inf_Outpatient_Services;Inf_Inpatient_Services;Inf_Water_Electricity_Household;Inf_House_Rent;Inf_House_Maintenance;Inf_Water_Supply;Inf_Electricity_Supply;Inf_Financial_Services;Inf_Communication_Equipment;Inf_Communication_Services;Inf_Personal_Care;Inf_Food_Baverages_Services;Inf_Recreation_Sports_Culture;Inf_School_Supplies;Inf_recreation_Sport_Servoces;Inf_Transportation;Inf_Vehicle_Purchase;Inf_Personal_Transportation;Inf_Passenger_Transportation;Inf_Freight_Forwading_Services
KAB LEBAK;1.4;0.502;0.598;1.4;0.466;0.534;1.116;4.198;0.258;0.15;0;0;1.038;0.712;1.379;0.364;0;0.406;1.144;0.482;0;0;0.272;1.506;0;4.996;2.167;3.271;4.914;0;0.162;0.79;0.42;0.62;14.49
KOTA TANGERANG;2.111;1.488;0.874;0.106;0.855;0;2.628;2.365;1.382;0.526;1.302;7.853;3.538;1.221;3.042;0.481;0;0.408;0.759;0.071;0;0.268;0.443;0.378;0.696;4.853;5.085;0.913;1.502;0;1.28;1.189;0.502;6.213;0
KOTA CILEGON;5.43;1.978;1.144;2.59;0.348;0;0.808;0.13;1.168;1.191;3.58;9.222;0.596;0.913;1.576;0.98;0;0.173;0.45;0.597;0;0.125;0.114;0.145;0.186;5.628;4.033;1.091;1.429;0.43;0.936;1.615;0.562;4.41;0
KOTA SERANG;0.493;1.773;1.234;2.269;0;0;0.758;1.034;0.986;1.188;13.497;1.484;0.764;1.402;1.806;2.655;0;0.422;2.023;0.119;0;0.156;0.384;1.969;0.448;5.659;1.024;0.637;0.908;0.091;2.019;5.653;0.99;2.244;0
KAB TABANAN;3.954;2.564;1.142;5.071;0.568;0;1.847;0.023;0.196;1.442;0.028;1.488;3.186;2.628;4.985;0.032;0;0.664;1.133;0.462;0;1.609;0.33;1.975;0;1.723;3.098;4.391;3.434;31.25;1.489;2.122;1.306;4.102;0.966
KAB BADUNG;2.231;11.04;1.413;5.153;0.502;0;0.175;1.5;0;0;0;0;0.441;4.856;1.192;0.15;19.44;0.861;0.14;3.533;2.254;0.481;0.351;1.672;0;1.202;0.484;1.882;0.756;0;0.53;4.074;0.245;7.483;0
SINGARAJA;1.144;0.116;0.525;2.023;0.192;0.022;1.271;0.069;0.59;1.331;0.446;0.407;2.468;2.538;0.649;5.803;0;0.26;0.247;0.201;0;0.422;0.737;3.896;0.154;2.86;1.556;2.083;3.243;0.208;0.566;2.21;0.467;7.239;0
KOTA DENPASAR;0.622;0.85;5.166;3.728;4.05;7.404;1.205;4.258;2.488;5.125;2.159;1.224;0.704;0.855;1.931;0.923;0;0.261;0.16;0.429;2.173;0.461;0.236;0.937;0.186;2.964;6.236;2.34;2.295;1.592;2.494;2.875;2.126;6.637;0.945
KAB SUMBAWA`;1.624;0.286;0.3;0.228;0.684;0;1.213;1.094;0.941;1.949;0.428;2.105;2.253;0.391;1.259;0;0;0.329;0.528;1.212;0;1.434;0.075;0.378;0;5.274;1.59;2.791;1.847;8.988;0.369;1.583;0.477;1.046;0
KOTA MATARAM;2.31;0.867;1.641;0.573;4.997;0.248;0.445;1.44;4.234;0.539;2.09;1.675;1.35;0.752;0.222;0.84;1.106;2.315;2.763;1.527;0.77;2.34;1.539;7.827;0.05;3.439;2.937;1.442;2.995;0;1.798;1.967;0.729;8.044;0.708
KOTA BIMA;0.65;1.705;4.785;0.087;1.664;8.822;0.993;1.417;1.958;1.055;5.959;4.786;0.948;1.891;1.517;0;4.086;1.76;0.442;0.575;0;2.946;0.073;0.304;0;4.58;0.897;1.319;0.921;0;1.416;0.318;1.193;3.71;0.197
WAINGAPU;2.18;0.107;1.164;0.052;2.78;0.62;0.988;0;0;1.622;0;0.972;1.619;1.741;2.481;1.032;0;0.865;5.931;0.686;0;0;0.089;0.659;0.008;2.226;0.48;0.041;0.046;0;3.841;1.234;0.267;13.105;0
KAB TIMOR TENGAH SELATAN;0.556;2.197;1.164;7.472;1.32;0;0.279;0;0;0;0;0;0.324;4.682;11.21;0;0;0.319;1.344;0.407;0;0.858;1.49;7.14;0;2.414;8.164;0.606;0.794;0;0.146;3.847;0.279;0;0
MAUMERE;0.721;2.416;1.74;0.518;4.253;0.032;1.633;1.133;0.352;1.125;1.188;0.669;3.199;0.67;1.089;0;0;0.656;0.634;1.225;1.84;0.804;0.35;2.856;0.03;1.4;3.982;1.941;1.81;0;3.191;2.573;0.78;8.372;7.687
KAB NGADA;15.4;3.616;0.42;2.152;0;0;1.06;2.337;3.07;1.608;3.154;1.793;1.643;0.785;1.224;0;0;1.798;0;3.914;0;1.283;0.76;2.883;0;1.341;10.894;1.026;1.088;0;2.274;3.134;0.871;7.389;25.578
KOTA KUPANG;0.254;0.3;0.028;0.112;0;0.021;0.375;0.745;2.585;0.715;1.293;0;0.67;0.668;1.259;0;0;0.722;3.286;0.326;0;0.003;0.412;1.217;0.076;6.608;2.309;0.365;0.879;0;2.606;1.77;0.573;7.163;2.944
KAB KETAPANG;0.436;0;0.395;0.171;0.138;0;0.501;0.194;0;0.944;0;0;1.061;0.555;0.439;1.14;0;0.446;0.055;0.977;11.205;0;0.285;0.971;0;3.177;2.135;0.526;0.926;0;0.684;1.977;0.39;0.582;2.03
SINTANG;0.892;1;0;0;0;0;1.564;2.209;2.007;0.36;1.372;0;1.868;1.193;1.373;1.64;0;0.291;0.027;0.996;0;0.893;0.388;0.726;0.452;4.109;1.655;1.757;0.877;6.75;0.966;2.745;0.559;2.921;0.836
KAB KAYONG UTARA;3.773;1.807;2.781;4.2;0.219;0;0.468;2.076;0;0.16;0;2.402;0.648;0.42;0.893;1.69;0;0.559;0.138;3.735;0;1.156;0.416;2.033;0;5.406;1.376;0.318;1.366;0;0.721;0.606;0.25;4.586;0
KOTA PONTIANAK;2.291;2.416;1.814;1.956;0.669;0.89;0.15;2.608;1.207;1.12;0;0.359;0.218;0.725;0.97;2.101;0;0.254;1.129;3.1;0;0.996;0.224;2.023;0.56;2.058;0.658;1.946;2.846;3.78;1.427;1.588;0.664;7.256;1.577
KOTA SINGKAWANG;1.277;0.134;1.19;0.987;3.217;0;1.323;0.462;0.751;0.489;1.242;0;2.208;2.865;1.042;1.58;10.89;0.428;0.721;0.18;0;0.559;0.179;0.97;0.348;2.933;1.396;1.346;0.391;1.084;1.101;1.256;1.127;0.539;0.128
SAMPIT;0.545;0.238;2.835;3.385;3.281;3.21;0.223;0.006;0.204;0.32;0;1.578;0.357;0.734;1.209;0;0;0.432;1.788;1.596;0;0.871;0.079;0.627;0.204;3.746;2.461;0.966;1.309;0;1.534;0.757;1.047;7.549;4.904
KAB KAPUAS;1.173;0.63;0.054;0.129;0.051;0;1.598;2.212;10.558;3.458;0.932;2.228;0.666;3.178;3.665;7.355;14.47;1.081;0;2.572;0;1.939;0.331;2.757;0;1.508;2.549;3.564;3.898;1.742;0.349;1.742;0.528;2.715;3.766
KAB SUKAMARA;2.626;1.354;0;0;0;0;0.392;1.1;7.175;0.906;2.8;2.949;0.314;2.336;3.833;0.437;0;0.133;0.478;2.238;0;0.574;0.26;1.643;0;1.818;0.975;2.63;0.508;0;0.389;0.591;0.435;0;4.681
KOTA PALANGKARAYA;0.493;1.3;2.829;4.369;3.214;0.473;0.922;0.597;1.068;4.292;2.415;1.763;0.481;0.926;0.239;0.258;3.76;0.415;0.678;0.913;0;1.217;0.171;2.152;0.136;3.078;1.821;2;1.751;3.408;1.399;2.087;0.857;3.611;9.974
KAB TANAH LAUT;1.851;3.243;0;0;0;0;0.542;3.347;4.672;0.685;6.373;2.544;0.816;0.685;1.227;0.705;0;0.649;2.888;2.785;18.612;1.041;1.672;9.049;0;2.337;0.843;3.186;0.954;0;0.533;2.443;0.776;0;0
KOTABARU;2.452;0.921;0;0;0;0;0.933;3.303;11.175;0.842;2.097;1.104;3.789;2.343;6.103;1.471;0;0.759;0.022;3.097;0;1.758;0.375;1.106;0.076;5.333;0.988;2.029;2.631;0;1.018;0.818;0.956;1.605;0
KAB HULU SUNGAI TENGAH;2.652;1.945;1.524;2.644;1.68;0;2.218;0.743;4.194;9.323;0;0.56;0.795;1.857;1.632;2.766;0;1.491;0.464;5.128;0;1.077;0.154;1.032;0;2.926;4.871;3.969;2.334;0;0.437;2.316;0.268;0;0.853
TANJUNG;2.314;0.571;2.384;6.004;0.056;0;0.258;1.371;2.046;1.78;0;0;0.282;3.638;1.642;0;7.421;2.166;3.193;0.265;5.682;0.141;0.05;0.318;0.118;7.091;0.452;2.484;5.953;0;1.228;0.159;1.805;3.749;0.54
KOTA BANJARMASIN;1.194;2.055;2.465;2.944;3.11;2.656;0.749;2.581;1.874;0.751;2.685;1.47;0.502;2.978;1.87;5.815;2.78;0.68;0.82;0.755;0.56;0.798;0.453;1.794;0.136;8.905;1.58;2.374;6.445;0.279;4.032;3.973;3.778;9.624;0
KAB BERAU;3.838;2.215;0.775;2.097;0.531;0;1.414;1.885;2.058;1.523;5.318;11.366;1.105;24.957;0.852;2.687;86.5;0.417;0.815;0.832;0;0.639;0.231;1.369;0.19;4.658;1.13;4.793;5.382;0;0.862;1.942;0.195;8.414;0
KAB PENAJAM PASER UTARA;1.824;3.921;0.369;0.648;1.215;0;1.14;0.428;3.674;3.549;4.208;0.092;0.787;2.36;2.401;4.272;0;1.649;0.396;2.483;0;2.083;0.845;4.018;0;2.738;2.805;9.838;7.708;23.566;1.047;3.398;0.536;2.188;4.968
KOTA BALIKPAPAN;2.561;0.487;1.194;1.933;0.719;0;0.901;1.717;1.854;0.729;0.012;0.66;1.694;1.901;3.036;0;0;0.618;0.35;1.242;0;1.134;0.123;0.318;0.23;4.396;0.648;0.327;0.931;0.383;3.51;0.814;0.868;14.426;3.741
